Заклинания без полного перевода
Формат: id | name | level | source | что отсутствует

deepm_memento-mori | Memento Mori | 0 | Deep Magic for 5th Edition | name_ru
deepm_circle-of-wind | Circle of Wind | 1 | Deep Magic for 5th Edition | name_ru, description_ru
deepm_cloak-of-shadow | Cloak of Shadow | 1 | Deep Magic for 5th Edition | name_ru, description_ru
deepmx_cloying-darkness | Cloying Darkness | 1 | Deep Magic Extended | name_ru, description_ru
deepm_cobra-fangs | Cobra Fangs | 1 | Deep Magic for 5th Edition | name_ru, description_ru
srd-2024_color-spray | Color Spray | 1 | 5e 2024 Rules | name_ru, description_ru
srd-2024_command | Command | 1 | 5e 2024 Rules | name_ru, description_ru
srd-2024_comprehend-languages | Comprehend Languages | 1 | 5e 2024 Rules | name_ru, description_ru
spells-that-dont-suck_cone-of-flame | Cone of Flame | 1 | Spells That Don't Suck | name_ru, description_ru
deepm_converse-with-dragon | Converse With Dragon | 1 | Deep Magic for 5th Edition | name_ru, description_ru
a5e-ag_corpse-explosion | Corpse Explosion | 1 | Adventurer's Guide | name_ru, description_ru
deepm_boiling-blood | Boiling Blood | 4 | Deep Magic for 5th Edition | name_ru, description_ru
spells-that-dont-suck_synaptic-spear | Synaptic Spear | 4 | Spells That Don't Suck | description_ru
a5e-ag_tearful-sonnet | Tearful Sonnet | 4 | Adventurer's Guide | description_ru
deepm_time-vortex | Time Vortex | 4 | Deep Magic for 5th Edition | description_ru
deepm_torrent-of-fire | Torrent of Fire | 4 | Deep Magic for 5th Edition | description_ru
toh_trollish-charge | Trollish Charge | 4 | Tome of Heroes | description_ru
spells-that-dont-suck_unerring-sentry | Unerring Sentry | 4 | Spells That Don't Suck | description_ru
deepm_visage-of-madness | Visage of Madness | 4 | Deep Magic for 5th Edition | description_ru
srd-2024_vitriolic-sphere | Vitriolic Sphere | 4 | 5e 2024 Rules | description_ru
srd-2024_wall-of-fire | Wall of Fire | 4 | 5e 2024 Rules | description_ru
toh_war-horn | War Horn | 4 | Tome of Heroes | description_ru
spells-that-dont-suck_whirling-water | Whirling Water | 4 | Spells That Don't Suck | description_ru
kp_wield-soul | Wield Soul | 4 | Kobold Press Compilation | description_ru
deepm_wild-shield | Wild Shield | 4 | Deep Magic for 5th Edition | description_ru
kp_winged-spies | Winged Spies | 4 | Kobold Press Compilation | description_ru
deepm_wintry-glide | Wintry Glide | 4 | Deep Magic for 5th Edition | description_ru
deepmx_write-memory | Write Memory | 4 | Deep Magic Extended | description_ru
deepm_yellow-sign | Yellow Sign | 4 | Deep Magic for 5th Edition | description_ru
deepm_acid-rain | Acid Rain | 5 | Deep Magic for 5th Edition | description_ru
deepmx_amplify-ley-field | Amplify Ley Field | 5 | Deep Magic Extended | description_ru
deepm_ancient-shade | Ancient Shade | 5 | Deep Magic for 5th Edition | description_ru
deepm_enchant-ring | Enchant Ring | 6 | Deep Magic for 5th Edition | name_ru, description_ru
deepm_encroaching-shadows | Encroaching Shadows | 6 | Deep Magic for 5th Edition | name_ru, description_ru
deepm_entomb | Entomb | 6 | Deep Magic for 5th Edition | name_ru, description_ru
deepm_extract-knowledge | Extract Knowledge | 6 | Deep Magic for 5th Edition | name_ru, description_ru
open5e_eye-bite | Eye bite | 6 | Open5e Originals | name_ru, description_ru
srd-2024_eyebite | Eyebite | 6 | 5e 2024 Rules | name_ru, description_ru
deepm_fault-line | Fault Line | 6 | Deep Magic for 5th Edition | name_ru, description_ru
srd-2024_find-the-path | Find the Path | 6 | 5e 2024 Rules | name_ru, description_ru
deepm_firewalk | Firewalk | 6 | Deep Magic for 5th Edition | name_ru, description_ru
spells-that-dont-suck_fleeting-portals | Fleeting Portals | 6 | Spells That Don't Suck | name_ru, description_ru
srd-2024_flesh-to-stone | Flesh to Stone | 6 | 5e 2024 Rules | name_ru, description_ru
srd-2024_forbiddance | Forbiddance | 6 | 5e 2024 Rules | name_ru, description_ru
spells-that-dont-suck_form-of-fire | Form of Fire | 6 | Spells That Don't Suck | name_ru, description_ru
spells-that-dont-suck_form-of-ice | Form of Ice | 6 | Spells That Don't Suck | name_ru, description_ru
spells-that-dont-suck_form-of-stone | Form of Stone | 6 | Spells That Don't Suck | name_ru, description_ru
spells-that-dont-suck_form-of-water | Form of Water | 6 | Spells That Don't Suck | name_ru, description_ru
spells-that-dont-suck_form-of-wind | Form of Wind | 6 | Spells That Don't Suck | name_ru, description_ru
srd-2024_freezing-sphere | Freezing Sphere | 6 | 5e 2024 Rules | name_ru, description_ru
toh_gale | Gale | 6 | Tome of Heroes | name_ru, description_ru
spells-that-dont-suck_glacial-orbs | Glacial Orbs | 6 | Spells That Don't Suck | name_ru, description_ru
srd-2024_globe-of-invulnerability | Globe of Invulnerability | 6 | 5e 2024 Rules | name_ru, description_ru
srd-2024_guards-and-wards | Guards and Wards | 6 | 5e 2024 Rules | name_ru, description_ru
srd-2024_harm | Harm | 6 | 5e 2024 Rules | name_ru, description_ru
srd-2024_heal | Heal | 6 | 5e 2024 Rules | name_ru, description_ru
deepm_heavenly-crown | Heavenly Crown | 6 | Deep Magic for 5th Edition | name_ru, description_ru
srd-2024_heroes-feast | Heroes' Feast | 6 | 5e 2024 Rules | name_ru, description_ru
deepm_icy-manipulation | Icy Manipulation | 6 | Deep Magic for 5th Edition | name_ru, description_ru
spells-that-dont-suck_impaling-spires | Impaling Spires | 6 | Spells That Don't Suck | name_ru, description_ru
a5e-ag_infernal-weapon | Infernal Weapon | 6 | Adventurer's Guide | name_ru, description_ru
toh_instant-armored-vehicle | Instant Armored Vehicle | 6 | Tome of Heroes | name_ru, description_ru
srd-2024_instant-summons | Instant Summons | 6 | 5e 2024 Rules | name_ru, description_ru
srd-2024_irresistible-dance | Irresistible Dance | 6 | 5e 2024 Rules | name_ru, description_ru
deepmx_ley-whip | Ley Whip | 6 | Deep Magic Extended | name_ru, description_ru
deepm_life-drain | Life Drain | 6 | Deep Magic for 5th Edition | name_ru, description_ru
